SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE FORM,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE,DATA_QUALITY_SCORE,LAST_UPDATED
iris germanica,,bearded iris,iris,iridaceae,asparagales,monocots,irises,irises,hemicryptophyte,around amman,herb,,Europe,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
iris nigricans,,black iris,iris,iridaceae,asparagales,monocots,irises,irises,hemicryptophyte,online,herb,,Mediterranean,northern,Both,Moderate,Limited,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
iris siberica,,siberian iris,Iris,iridaceae,asparagales,monocots,irises,,hemicryptophyte,Kew,herb,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
ixora chinensis,,chinese ixora,ixora,rubiaceae,gentianales,dicots,,,phanerophyte,jakarta,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
ixora coccinea,,jungle flame,ixora,rubiaceae,gentianales,dicots,,,phanerophyte,,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
jacaranda mimosifolia,,blue jacaranda,jacaranda,bignoniaceae,lamiales,dicots,jacarandas,bignonia,phanerophyte,yarmouk river,tree,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
jacobaea maritima,,silver ragwort,jacobaea,asteraceae,asterales,dicots,,,hemicryptophyte,around amman,herb,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
jacobaea vulgaris,,ragwort,jacobaea,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
jasminum mesnyi,,primrose jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,phanerophyte,embassy garden,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
jasminum nudiflorum,,winter jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,,phanerophyte,knighton,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
jasminum sambac,,arabian jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,phanerophyte,yarmouk river,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
jatropha curcas,,poison nut,jatropha,euphorbiaceae,malpighiales,dicots,,,phanerophyte,luang prabang,shrub,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
jatropha gossypiifolia,,bellyache bush,jatropha,euphorbiaceae,malpighiales,dicots,,,phanerophyte,timor leste,shrub,,Central America,,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
jatropha integerrima,,peregrina,jatropha,euphorbiaceae,malpighiales,dicots,,,phanerophyte,,shrub,,,,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
juglans nigra,,eastern black walnut,juglans,juglandaceae,fagales,dicots,walnuts,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
juglans regia,,persian walnut,juglans,juglandaceae,fagales,dicots,walnuts,walnuts,phanerophyte,online,tree,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
juniperus communis,,common juniper,juniperus,cupressaceae,cupressales,conifers,,,phanerophyte,,shrub,,,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
juniperus oxycedrus,,western prickly juniper,juniperus,cupressaceae,cupressales,conifers,,,phanerophyte,,shrub,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
justicia spicigera,,moyotle,justicia,acanthaceae,lamiales,dicots,justicia,,hemicryptophyte,around amman,herb,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
kalanchoe blossfeldiana,,flaming katy,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,hemicryptophyte,Amman garden,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
kalanchoe daigremontiana,,alligator plant,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,hemicryptophyte,Amman garden,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
kalanchoe pinnatum,,life plant,kalanchoe,crassulaceae,saxifragales,dicots,,,hemicryptophyte,luang prabang,herb,,,,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
kigelia africana,,sausage tree,kigelia,bignoniaceae,lamiales,dicots,,,phanerophyte,jakarta,tree,,Africa,southern,Both,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
kniphofia uvaria,,red hot poker,kniphofia,asphodelaceae,asparagales,monocots,,,hemicryptophyte,london,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
kroenleinia grusonii,,golden barrel cactus,kroenleinia,cactaceae,caryophyllales,dicots,,,hemicryptophyte,,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
kumara plicatilis,,fan aloe,kumara,asphodelaceae,asparagales,monocots,,,hemicryptophyte,singapore,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
kunzea robusta,,rawinui,kunzea,myrtaceae,myrtales,dicots,,,phanerophyte,Kew,tree,,,southern,Wild,Low,None,Locally common,natural,,,0.0,2025-08-27T02:28:19.554278
lactuca serriola,,prickly lettuce,lactuca,asteraceae,asterales,dicots,,,hemicryptophyte,,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lantana camara,,common lantana,lantana,verbenaceae,lamiales,dicots,,,phanerophyte,Kempinski,shrub,,Central America,,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
larix decidua,,,larix,pinaceae,pinales,conifers,larches,,phanerophyte,knighton,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
larix kaempferi,,japanese larch,larix,pinaceae,pinales,conifers,larches,,phanerophyte,kew,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
larix laricina,,tamarack,larix,pinaceae,pinales,conifers,larches,,phanerophyte,charlevoix,tree,,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lathyrus odoratus,,sweet pea,lathyrus,fabaceae,fabales,dicots,,legumes,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lathyrus sylvestris,,flat pea,lathyrus,fabaceae,fabales,dicots,sweet peas and vetchlings,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,,0.0,2025-08-27T02:28:19.554278
lavandula angustifolia,,english lavender,lavandula,lamiaceae,lamiales,dicots,lavanders,mints,hemicryptophyte,Expo,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
lavandula dentata,,french lavender,lavandula,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,Office,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,,0.0,2025-08-27T02:28:19.554278
